Title 	Author 	Spot 	Status
Statistical physics of particles	Mehran Kardar	1-4	
Statistical physics of fields	Mehran Kardar	1-4	
Lectures on phase transitions and the renormalization group	Nigel Goldenfeld	1-4	
Principles of condensed matter physics	Chaikin & Lubensky	1-4	
Mathematical mnethods for physics and engineering	Riley,Hobson,Bence	2-1	
Mathematical mnethodsin the physical sciences	Mary L.Boas	2-1	
Further pure mathematics	Bostock,Chandler,Rourke	2-1	
Basic training in mathematics	R.Shankar	2-1	
Linear algebra problem book	Paul R Halmos	2-1	
A course of pure mathematics	G.H.Hardy	2-1	
Problems and solutionbs in theoritical and mathematical physics	Willi-Hans Steeb	2-1	
Complex variables	Ablowitz & Fokas	2-1	
Introduction to topology and modern analysis	GF Simmons	2-1	
Differential equations -theory,technique,practice	Simmons & Krantz	2-1	
Finite Dimensional Vector Spaces	Halmos	2-1	
Mathematical methods for physicists	Arfken,Weber,Haris	2-1	
Mathematical methods for physicists	Arfken,Weber	2-1	
Geometry,topology and physics	M Nakahara	2-1	
Topology for physicists	Albert S.Schwarz	2-1	
Statistical Data Analysis	Adrian Bevan	2-1	
Complex variables	Spiegel,Lipschutz,Schiller,Spellman	2-1	
Group theory for physicists	A.W.Joshi	2-1	
Linear Algebra and its applications	Gilbert Strang	2-1	
Complex variables and applications	Brown & Churchill	2-1	
Mathematical methods of classical mechanics	Arnold	2-1	
Mathematical methods for physics	Stone & Goldbart	2-1	
Introduction to elementary particles	D. J. Griffiths	2-2	
Particle physics	Martin & Shaw	2-2	
The phases of Quantum Chromodynamics	Kogut, Stephanov	2-2	
Non Perturbative Field Theory	Frishman, Sonneschein	2-2	
Quarks & Leptons	Francis Halzen & Alan D.Martin	2-2	
Gauge theory of elementary particle physics	Cheng & Li	2-2	
Finite Temparature Field Theory Principles and Applications	Gale & Kapusta	2-2	
Classical mechanics	Herbert Goldstein	2-2	
Optics	A Ghatak	2-2	
Nuclear Physics	I. Kaplan	2-2	
Classical Electrodynamics	J. D. Jackson	2-2	
Electronic principles	A. P. Malvino	2-2	
Heat & Theormodynamics	Zemansky & Dittman	2-2	
A- level Physics	R. Muncaster	2-2	
Space, Time and Gravitation	Vladimirov, Mitskievich and Horsky	2-2	
Introduction to Cosmology	J.V.Narlikar	2-2	
Cosmology	Steven Weinberg	2-2	
Gravity (An intro to Einstein's general relativity)	James B.Hartle	2-2	
Unix for you	P. Koparkar	2-2	
The C-programming Language	The C-programming Language	2-2	
Practical C programming	S. Ouallin	2-2	
Introductory Economics	G. F. Stanlake	2-2	
20th Century World Affairs	J. Murray	2-2	
Swamy's Handbook	Swamy	2-2	
An appraisal of J. V. Stalin	S. Bose	2-2	
Goedel, Escher and Bach	D. Hofstdater	2-2	
Sri Ramkrishna and his Unique message	Swami Ghanananda	2-2	
Selections from the complete works of Swami Vivekanada	Swami Ghanananda	2-2	
Coping with faculty stress	Gmelch	2-2	
Even a geek can speak	Joey Asher	2-2	
First order principles for college teachers	Robert Boice	2-2	
Tomorrow's professor	Richard M Reis	2-2	
One hundred reason to be a scientist	Abdus Salam	2-2	
Science, Spirituality and the nature of Reality	T. D. Singh and R. Penrose	2-2	
Getting funded	Mary Hall	2-2	
A Phd is not enough 	P J Feibelman 	2-2 	
Why things are the way they are 	B.s.Chandrasekhar 	2-2 	
Philips Modern School Atlas		2-2	
